"성씨, 본관별","행정구역별(시군구)",2015
"나(羅)","경상남도",4982
"나(羅)","제주특별자치도",1047
"남(南)","전국",275648
"남(南)","서울특별시",51352
"남(南)","부산광역시",19414
"남(南)","대구광역시",17146
"남(南)","인천광역시",14515
"남(南)","광주광역시",5271
"남(南)","대전광역시",9525
"남(南)","울산광역시",6385
"남(南)","세종특별자치시",1075
"남(南)","경기도",65852
"남(南)","강원도",9569
"남(南)","충청북도",11785
"남(南)","충청남도",10499
"남(南)","전라북도",5504
"남(南)","전라남도",7449
"남(南)","경상북도",21434
"남(南)","경상남도",17824
"남(南)","제주특별자치도",1049
"남궁(南宮)","전국",21308
"남궁(南宮)","서울특별시",5026
"남궁(南宮)","부산광역시",239
"남궁(南宮)","대구광역시",160
"남궁(南宮)","인천광역시",2032
"남궁(南宮)","광주광역시",214
"남궁(南宮)","대전광역시",815
"남궁(南宮)","울산광역시",160
"남궁(南宮)","세종특별자치시",141
"남궁(南宮)","경기도",7078
"남궁(南宮)","강원도",1574
"남궁(南宮)","충청북도",571
"남궁(南宮)","충청남도",1221
"남궁(南宮)","전라북도",1463
"남궁(南宮)","전라남도",208
"남궁(南宮)","경상북도",159
"남궁(南宮)","경상남도",210
"남궁(南宮)","제주특별자치도",37
"노(盧)","전국",256229
"노(盧)","서울특별시",50886
"노(盧)","부산광역시",18773
"노(盧)","대구광역시",10997
"노(盧)","인천광역시",14989
"노(盧)","광주광역시",8392
"노(盧)","대전광역시",9064
"노(盧)","울산광역시",5907
"노(盧)","세종특별자치시",1248
"노(盧)","경기도",62512
"노(盧)","강원도",5501
"노(盧)","충청북도",9833
"노(盧)","충청남도",11414
"노(盧)","전라북도",9785
"노(盧)","전라남도",6928
"노(盧)","경상북도",10162
"노(盧)","경상남도",18784
"노(盧)","제주특별자치도",1054
"노(魯)","전국",58698
"노(魯)","서울특별시",12498
"노(魯)","부산광역시",2925
"노(魯)","대구광역시",3874
"노(魯)","인천광역시",3891
"노(魯)","광주광역시",4738
"노(魯)","대전광역시",977
"노(魯)","울산광역시",833
"노(魯)","세종특별자치시",128
"노(魯)","경기도",13522
"노(魯)","강원도",787
"노(魯)","충청북도",743
"노(魯)","충청남도",1320
"노(魯)","전라북도",3840
"노(魯)","전라남도",3975
"노(魯)","경상북도",2171
"노(魯)","경상남도",2233
"노(魯)","제주특별자치도",243
"단(段)","전국",1612
"단(段)","서울특별시",488
"단(段)","부산광역시",67
"단(段)","대구광역시",47
"단(段)","인천광역시",131
"단(段)","광주광역시",5
"단(段)","대전광역시",30
"단(段)","울산광역시",19
"단(段)","경기도",558
"단(段)","강원도",29
"단(段)","충청북도",18
"단(段)","충청남도",74
"단(段)","전라북도",13
"단(段)","전라남도",6
"단(段)","경상북도",99
"단(段)","경상남도",18
"단(段)","제주특별자치도",9
"당(唐)","전국",1146
"당(唐)","서울특별시",199
"당(唐)","부산광역시",16
"당(唐)","대구광역시",13
"당(唐)","인천광역시",266
"당(唐)","광주광역시",5
"당(唐)","대전광역시",19
